Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
179,Jericho Sims,C,26,MIL,5,0,11.6,1.2,1.2,1,0,0,,1.2,1.2,1,1,0.4,0.6,0.667,2.2,1.8,4,0.2,0,0.2,1,1,2.8
180,Jabari Smith Jr.,PF,21,HOU,7,0,20.4,2.4,4.9,0.5,1.4,3.1,0.455,1,1.7,0.583,0.647,1.1,1.4,0.8,1,2.9,3.9,0.6,0.1,0.7,1.4,0.9,7.4
181,Pat Spencer,PG,28,GSW,8,0,7.9,2,3.1,0.64,0.1,0.4,0.333,1.9,2.8,0.682,0.66,0.4,0.4,1,0.6,0.8,1.4,0.8,0.4,0,0.8,1.1,4.5
182,Lamar Stevens,PF,27,MEM,2,0,6,1,4.5,0.222,0,1.5,0,1,3,0.333,0.222,0,0,,0,2,2,0.5,0,0,0.5,0.5,2
183,Isaiah Stewart,C,23,DET,1,0,19,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,4,5,1,0,2,0,5,2
184,Julian Strawther,SG,22,DEN,9,0,9.8,1.4,3.3,0.433,0.7,1.3,0.5,0.8,2,0.389,0.533,0.7,0.8,0.857,0.4,0.6,1,0.2,0.2,0.1,0.6,1.2,4.2
185,Max Strus,SF,28,CLE,9,9,28.1,4.1,9.9,0.416,2.9,7.4,0.388,1.2,2.4,0.5,0.562,0.6,0.7,0.833,1.8,3.9,5.7,3.9,0.7,0.2,0.8,2.6,11.7
186,Jayson Tatum,PF,26,BOS,8,8,40.3,9.3,21.9,0.423,3.6,9.8,0.372,5.6,12.1,0.464,0.506,6,6.8,0.889,1.1,10.4,11.5,5.4,2.1,0.8,3.3,2.6,28.1
187,Amen Thompson,SF,22,HOU,7,7,33,6,12.1,0.494,0.1,0.6,0.25,5.9,11.6,0.506,0.5,3.6,5.1,0.694,2.7,4.1,6.9,3.3,1.7,0.9,1.7,2.6,15.7
188,Ausar Thompson,SF,22,DET,6,6,22.5,4,7,0.571,0,0.3,0,4,6.7,0.6,0.571,3.5,6,0.583,1.3,3.8,5.2,1,1.2,0.8,1.8,4.2,11.5
189,Tristan Thompson,C,33,CLE,3,0,9.7,1,2,0.5,0,0,,1,2,0.5,0.5,0.3,1,0.333,0.7,4.3,5,0.3,0.3,0.7,0.7,0.7,2.3
190,Xavier Tillman Sr.,C,26,BOS,1,0,8,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,,1,2,3,0,0,0,0,0,2
191,Obi Toppin,PF,26,IND,23,0,19.1,3.6,7.4,0.485,1.1,3.4,0.321,2.5,4,0.624,0.558,1.1,1.6,0.694,0.6,3.3,3.8,1.3,0.7,0.3,1,2,9.4
192,Karl-Anthony Towns,C,29,NYK,18,18,35.5,7.7,15.8,0.488,1.4,4.1,0.351,6.3,11.7,0.536,0.533,4.6,5.4,0.845,2.1,9.5,11.6,1.3,0.7,0.7,2.2,4.3,21.4
193,Gary Trent Jr.,SG,26,MIL,5,3,34.2,6.4,12.4,0.516,4.4,8.8,0.5,2,3.6,0.556,0.694,1.6,2,0.8,0.2,2,2.2,1.2,2.6,0,0.6,1.8,18.8
